Jurisdiction,Year,Title,Insititution,Key
multi_jur,2013,Evaluation of environmental tax reforms,IEEP,IEEP-ETR
Switzerland,2015,CLIMATE CHANGE LEGISLATION IN SWITZERLAND - AN EXCERPT FROM The 2015 Global Climate Legislation Study A Review of Climate Change Legislation in 99 Countries,GLOBE,GLOBE-SWI
"Connecticut, Delaware, Maine, Massachussets, Maryland, New Hampshire, New Jersey, New York, Rhode Island, Vermont",2015,FCP CO2 allowance allocation,RGGI,RGGI-FCP
"Connecticut, Delaware, Maine, Massachussets, Maryland, New Hampshire, New Jersey, New York, Rhode Island, Vermont",2015,SCP CO2 allowance allocation,RGGI,RGGI-SCP
multi_jur,2015,EU ETS Handbook,European Commission,EC-ETS
Tokyo Cap and Trade,2014,,Argus,TK-CAT
Quebec,2013,Vente aux encheres d'unites d'emission de gaz a effet de serre,Gouvernement du Quebec,QC-AR-I
Quebec,2014,Vente aux encheres d'unites d'emission de gaz a effet de serre,Gouvernement du Quebec,QC-AR-II
Quebec,2014,Vente aux encheres d'unites d'emission de gaz a effet de serre,Gouvernement du Quebec,QC-AR-III
Quebec,2014,Vente aux encheres d'unites d'emission de gaz a effet de serre,Gouvernement du Quebec,QC-AR-IV
Quebec,2015,Vente aux encheres d'unites d'emission de gaz a effet de serre,Gouvernement du Quebec,QC-AR-V
Quebec,2015,Vente aux encheres d'unites d'emission de gaz a effet de serre,Gouvernement du Quebec,QC-AR-VI
Quebec,2015,Vente aux encheres d'unites d'emission de gaz a effet de serre,Gouvernement du Quebec,QC-AR-VII
Quebec,2015,Vente aux encheres d'unites d'emission de gaz a effet de serre,Gouvernement du Quebec,QC-AR-VII
Quebec,2013,Free Allowances,Gouvernement du Quebec,QC-FA-I
Quebec,2014,Free Allowances,Gouvernement du Quebec,QC-FA-II
China ETS pilots,2015,China Carbon Market Monitor,Partnership for Market Readiness,PMR-CHP
"Denmark, Nordic countries",2006,The Use of Economic Instruments in Nordic and Baltic Environmental Policy,Nordic Council,NC-EIN
Finland,2007,Energy Policies of IEA Countries: Finland,IEA,IEA-FI
Denmark,2002,Energy Policies of IEA Countries: Denmark,IEA,IEA-DK
multi_jur,2009,Carbon Taxes: A Review of Experience and Policy Design Considerations,US National Renewable Energy Laboratory,SUM-BIR
multi_jur,2015,Energy Prices and Taxes,IEA,IEA-EPT
Estonia,2009,Environmental Taxes,Statistics Estonia,EST-SE
Estonia,2019,Taxing Energy Use - Country note: Estonia,OECD,OECD
Norway,2001,Energy Policies of IEA Countries: Norway,IEA,IEA-NO
Australia,2017,Auction December 2017,Australian Government - Clean Energy Regulator,AU-A-I
Australia,2017,Auction April 2017,Australian Government - Clean Energy Regulator,AU-A-II
Australia,2016,Auction November 2016,Australian Government - Clean Energy Regulator,AU-A-III
Australia,2016,Auction April 2016,Australian Government - Clean Energy Regulator,AU-A-IV
Kazakhstan,2016,KAZAKHSTAN:AN EMISSIONS TRADING CASE STUDY,IETA,IETA
multi_jur,2018,Energy Prices and Taxes,IEA,IEA-EPT
multi_jur,2020,Energy Prices and Taxes,IEA,IEA-EPT
Ukraine,2014,Improving the existing carbon charge in Ukraine as an interim policy towards emissions trading ,European Bank for Reconstruction and Development,EBRD
Colombia,2019,Taxing energy use,OECD,OECD-TEU-COL
Colombia,2019,Nota tecnica,Mexico - Plataforma Mexicana de Carbono,Mexico
Canada,2020,Carbon Market Business Brief - Canada Federal Output-Based Pricing System (OBPS),IETA,IETA
New Brunswick,2020,"New Brunswick - tax on carbon-emitting products starts April 1, 2020",KPMG,KPMG
