ipcc_full_code,ipcc_full,ipcc_cond_code,ipcc_cond,,isic_code_1,isic_code_2,isic_code_3,isic_code_4,isic_code_5,isic_code_6,isic_code_7,isic_code_8,isic_code_9,isic_code_10,isic_code_11,isic_code_12,isic_code_13,isic_code_14,isic_code_15,isic_code_16,isic_code_17,isic_code_18,isic_code_19,isic_code_20,isic_code_21,isic_code_22,isic_code_23,isic_code_24,isic_code_25,isic_code_26,isic_code_27,isic_code_28,isic_code_29,isic_code_30,isic_code_31,isic_code_32,isic_code_33,isic_code_34,isic_code_35,isic_code_36,isic_code_37,isic_code_38,isic_code_39,isic_code_40,isic_code_41,isic_code_42,isic_code_43,isic_code_44,isic_code_45,isic_code_46,isic_code_47,isic_code_48,isic_code_49,isic_code_50,isic_code_51,isic_code_52,isic_code_53,isic_code_54,isic_code_55,isic_code_56,isic_code_57,isic_code_58,isic_code_59,isic_code_60,isic_code_61,isic_code_62,isic_code_63,isic_code_64,isic_code_65,isic_code_66,isic_code_67,isic_code_68,isic_code_69,isic_code_70,isic_code_71,isic_code_72,isic_code_73,isic_code_74,isic_code_75,isic_code_76,isic_code_77,isic_code_78,isic_code_79,isic_code_80,isic_code_81,isic_code_82,isic_code_83,isic_code_84,isic_code_85,isic_code_86,isic_code_87,isic_code_88,isic_code_89,isic_code_90,isic_code_91,isic_code_92,isic_code_93,isic_code_94,isic_code_95,isic_code_96,isic_code_97,isic_code_98,isic_code_99,isic_code_100,isic_code_101,isic_code_102,isic_code_103,isic_code_104,isic_code_105,isic_code_106,isic_code_107,isic_code_108,isic_code_109,isic_code_110,isic_code_111,isic_code_112,isic_code_113,isic_code_114,isic_code_115,isic_code_116,isic_code_117,isic_code_118,isic_code_119,isic_code_120,isic_code_121,isic_code_122,isic_code_123,isic_code_124,isic_code_125,isic_code_126,isic_code_127,isic_code_128,isic_code_129,isic_code_130,isic_code_131,isic_code_132,isic_code_133,isic_code_134,isic_code_135,isic_code_136,isic_code_137,isic_code_138,isic_code_139
1A1C,1.A.1.c  Manufacture of Solid Fuels and Other Energy Industries,1A1C,ManufactureOfSolidFuelsAndOtherEnergyIndustries,Manufacture of Solid Fuels and Other Energy Industries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1A1C1,1.A.1.c.i  Manufacture of Solid Fuels,,,,1910,1920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1A1C2,1.A.1.c.ii  Oil and Gas Extraction,,,,0610,0620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1A1C3,1.A.1.c.iii  Other Energy Industries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1A1C4,1.A.1.c.iv  Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1A2,1.A.2  Manufacturing Industries and Construction,1A2,ManufacturingIndustriesAndConstruction,Manufacturing Industries and Construction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1A2A,1.A.2.a  Iron and Steel,1A2A,IronAndSteel,Iron and Steel,2410,2420,2431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1A2B,1.A.2.b  Non-Ferrous Metals,1A2B,NonFerrousMetals,Non-Ferrous Metals,2420,2432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1A2C,1.A.2.c  Chemicals,1A2C,Chemicals,Chemicals,2011,2012,2013,2021,2022,2023,2029,2030,2100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1A2D,"1.A.2.d  Pulp, Paper and Print",1A2D,PulpPaperPrint,"Pulp, Paper and Print",1701,1702,1709,1811,1812,1820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1A2E,"1.A.2.e  Food Processing, Beverages and Tobacco",1A2E,FoodProcessingBeveragesAndTobacco,"Food Processing, Beverages and Tobacco",1010,1020,1030,1040,1050,1061,1062,1071,1072,1073,1074,1075,1079,1080,1101,1102,1103,1104,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1A2F,1.A.2.f  Non-metallic Minerals,1A2F,NonMetallicMinerals,Non-Metallic Minerals,2310,2391,2392,2393,2394,2395,2396,2399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1A2G,1.A.2.g  Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1A2G1,1.A.2.g.i  Manufacturing of Machinery,1A2H,Machinery,Machinery,2511,2512,2513,2520,2591,2592,2593,2599,2811,2812,2813,2814,2815,2816,2817,2818,2819,2821,2822,2823,2824,2825,2826,2829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1A2G2,1.A.2.g.ii  Manufacturing of Transport Equipment,1A2G,TransportEquipment,Transport Equipment,2910,2920,2930,3011,3012,3020,3030,3040,3091,3092,3099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1A2G3,1.A.2.g.iii  Mining (Excluding Fuels) and Quarrying,1A2I,MiningAndQuarrying,Mining and Quarrying,710,721,729,810,891,892,893,899,990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1A2G4,1.A.2.g.iv  Wood and Wood Products,1A2J,WoodAndWoodProducts,Wood and Wood Products,1610,1621,1622,1623,1629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1A2G5,1.A.2.g.v  Construction,1A2K,Construction,Construction,4100,4210,4220,4290,4311,4312,4321,4322,4329,4330,4390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1A2G6,1.A.2.g.vi  Textile and Leather,1A2L,TextileAndLeather,Textile and Leather,1311,1312,1313,1391,1392,1393,1394,1399,1410,1420,1430,1511,1512,1520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1A2G7,1.A.2.g.vii  Off-road Vehicles and Other Machinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1A2G8,1.A.2.g.viii  Other,1A2M,Other,Other,2211,2219,2220,3100,3211,3212,3220,3230,3240,3250,3290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1A3,1.A.3  Transport,1A3,Transport,Transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1A3A,1.A.3.a  Domestic Aviation,1A3A2,DomesticAviation,DomesticAviation,5110,5120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1A3B,1.A.3.b  Road Transportation,1A3B,RoadTransportation,Road Transportation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1A3B1,1.A.3.b.i  Cars,,,,4921,4922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1A3B2,1.A.3.b.ii  Light Duty Trucks,,,,4923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1A3B3,1.A.3.b.iii  Heavy Duty Trucks and Buses,,,,4923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1A3B4,1.A.3.b.iv  Motorcycles,,,,4921,4922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1A3B5,1.A.3.b.v  Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1A3C,1.A.3.c  Railways,1A3C,Railways,Railways,4911,4912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1A3D,1.A.3.d  Domestic Navigation,1A3D2,DomesticWaterBorneNavigation,Domestic water-borne Navigation,5011,5012,5021,5022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1A3E,1.A.3.e  Other Transportation,1A3E,OtherTransportation,Other Transportation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1A3E1,1.A.3.e.i  Pipeline Transport,,,,4930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1A3E2,1.A.3.e.ii  Other,1A3E1,OtherNonSpecified,Other Non-Specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1A4,1.A.4  Other Sectors,1A4,OtherSectors,Other Sectors (Fuel Combustion),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1A4A,1.A.4.a  Commercial/Institutional,1A4A,CommercialInstitutional,Commercial/Institutional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1A4A1,1.A.4.a.i  Stationary Combustion,,,,5510,5520,5590,5610,5621,5629,5630,5811,5812,5813,5819,5820,5911,5912,5913,5914,5920,6010,6020,6110,6120,6130,6190,6201,6202,6209,6311,6312,6391,6399,6411,6419,6420,6430,6491,6492,6499,6511,6512,6520,6530,6611,6612,6619,6621,6622,6629,6630,6810,6820,6910,6920,7010,7020,7110,7120,7210,722,7220,7310,7320,7410,7420,7490,7500,7710,7721,7722,7729,7730,7740,7810,7820,7830,7911,7912,7990,8010,8020,8030,8110,8121,8129,8130,8211,8219,8220,8230,8291,8292,8299,8510,8521,8522,8530,8541,8542,8549,8550,8610,8620,8690,8710,8720,8730,8790,8810,8890,9000,9101,9102,9103,9200,9311,9312,9319,9321,9329,9411,9412,9420,9491,9492,9499,9511,9512,9521,9522,9523,9524,9529,9601,9602,9603,9609,9700,9810,9820,
1A4A2,1.A.4.a.ii  Off-road Vehicles and Other Machinery,,,,5510,5520,5590,5610,5621,5629,5630,5811,5812,5813,5819,5820,5911,5912,5913,5914,5920,6010,6020,6110,6120,6130,6190,6201,6202,6209,6311,6312,6391,6399,6411,6419,6420,6430,6491,6492,6499,6511,6512,6520,6530,6611,6612,6619,6621,6622,6629,6630,6810,6820,6910,6920,7010,7020,7110,7120,7210,722,7220,7310,7320,7410,7420,7490,7500,7710,7721,7722,7729,7730,7740,7810,7820,7830,7911,7912,7990,8010,8020,8030,8110,8121,8129,8130,8211,8219,8220,8230,8291,8292,8299,8510,8521,8522,8530,8541,8542,8549,8550,8610,8620,8690,8710,8720,8730,8790,8810,8890,9000,9101,9102,9103,9200,9311,9312,9319,9321,9329,9411,9412,9420,9491,9492,9499,9511,9512,9521,9522,9523,9524,9529,9601,9602,9603,9609,9700,9810,9820,
1A4A3,1.A.4.a.iii  Other,,,,5510,5520,5590,5610,5621,5629,5630,5811,5812,5813,5819,5820,5911,5912,5913,5914,5920,6010,6020,6110,6120,6130,6190,6201,6202,6209,6311,6312,6391,6399,6411,6419,6420,6430,6491,6492,6499,6511,6512,6520,6530,6611,6612,6619,6621,6622,6629,6630,6810,6820,6910,6920,7010,7020,7110,7120,7210,722,7220,7310,7320,7410,7420,7490,7500,7710,7721,7722,7729,7730,7740,7810,7820,7830,7911,7912,7990,8010,8020,8030,8110,8121,8129,8130,8211,8219,8220,8230,8291,8292,8299,8510,8521,8522,8530,8541,8542,8549,8550,8610,8620,8690,8710,8720,8730,8790,8810,8890,9000,9101,9102,9103,9200,9311,9312,9319,9321,9329,9411,9412,9420,9491,9492,9499,9511,9512,9521,9522,9523,9524,9529,9601,9602,9603,9609,9700,9810,9820,
1A4B,1.A.4.b  Residential,1A4B,Residential,Residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1A4B1,1.A.4.b.i  Stationary Combustion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1A4B2,1.A.4.b.ii  Off-road Vehicles and Other Machinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1A4B3,1.A.4.b.iii  Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1A4C,1.A.4.c  Agriculture/Forestry/Fishing,1A4C,AgricultureForestryFishingFishFarms,Agriculture/Forestry/Fishing/Fish Farms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1A4C1,1.A.4.c.i  Stationary,1A4C1,AgricultureForestry,"Agriculture, Forestry",0111,0112,0113,0114,0115,0116,0119,0121,0122,0123,0124,0125,0126,0127,0128,0129,0130,0141,0142,0143,0144,0145,0146,0149,0150,0161,0162,0163,0164,0170,0210,0220,0230,0240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1A4C2,1.A.4.c.ii  Off-road Vehicles and Other Machinery,,,,0111,0112,0113,0114,0115,0116,0119,0121,0122,0123,0124,0125,0126,0127,0128,0129,0130,0141,0142,0143,0144,0145,0146,0149,0150,0161,0162,0163,0164,0170,0210,0220,0230,0240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1A4C3,1.A.4.c.iii  Fishing,1A4C2,Fishing,Fishing,0311,0312,0321,0322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1A4C3,FishFarms,Fish Farms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1A5,1.A.5  Other (Not specified elsewhere),1A5,NonSpecified,Non-Specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
